Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_HandSoldering",147.000000,-108.400000,180.000000,bottom
"C2","18pF","C_0805_HandSoldering",146.500000,-85.600000,180.000000,bottom
"C3","18pF","C_0805_HandSoldering",157.000000,-85.400000,0.000000,bottom
"C4","100nF","C_0805_HandSoldering",148.000000,-95.400000,180.000000,bottom
"C5","2.2uF","C_0805_HandSoldering",165.000000,-103.900000,90.000000,bottom
"C6","100nF","C_0805_HandSoldering",166.000000,-99.400000,0.000000,bottom
"C7","100nF","C_0805_HandSoldering",164.600000,-108.400000,0.000000,bottom
"C8","100nF","C_0805_HandSoldering",179.250000,-151.000000,90.000000,bottom
"C9","100nF","C_0805_HandSoldering",136.000000,-110.000000,0.000000,bottom
"C10","100nF","C_0805_HandSoldering",184.000000,-110.000000,0.000000,bottom
"C11","47uF","CP_Elec_5x5.8",181.600000,-74.500000,270.000000,bottom
"C12","22uF","CP_Elec_4x5.8",184.800000,-63.400000,90.000000,bottom
"C13","22uF","CP_Elec_4x5.8",184.000000,-54.000000,180.000000,bottom
"C14","47uF","CP_Elec_5x5.8",158.000000,-70.000000,180.000000,bottom
"C15","1uF","CP_Elec_4x5.8",162.500000,-91.300000,90.000000,bottom
"C16","100nF","C_0805_HandSoldering",159.000000,-92.400000,90.000000,bottom
"D1","1N5819","D_SOD-123",178.400000,-64.000000,180.000000,bottom
"D2","1N5819","D_SOD-123",176.000000,-54.000000,0.000000,bottom
"L1","L","R_0805_HandSoldering",161.100000,-84.900000,90.000000,bottom
"R1","100k","R_0805_HandSoldering",171.800000,-86.850000,90.000000,bottom
"R2","100k","R_0805_HandSoldering",174.850000,-86.850000,90.000000,bottom
"R3","100k","R_0805_HandSoldering",174.600000,-106.000000,270.000000,bottom
"R4","100k","R_0805_HandSoldering",172.100000,-106.000000,270.000000,bottom
"R5","100k","R_0805_HandSoldering",167.600000,-83.100000,0.000000,bottom
"R6","100k","R_0805_HandSoldering",167.500000,-86.100000,180.000000,bottom
"R7","15k","R_0805_HandSoldering",177.600000,-86.850000,90.000000,bottom
"R8","15k","R_0805_HandSoldering",169.550000,-106.000000,270.000000,bottom
"R9","15k","R_0805_HandSoldering",167.500000,-89.000000,0.000000,bottom
"R10","100","R_0805_HandSoldering",141.000000,-142.000000,90.000000,bottom
"R11","100","R_0805_HandSoldering",144.000000,-142.000000,90.000000,bottom
"R12","100","R_0805_HandSoldering",172.000000,-142.000000,90.000000,bottom
"R13","680","R_0805_HandSoldering",162.700000,-119.900000,90.000000,bottom
"U1","STM32F446RETx","LQFP-64_10x10mm_P0.5mm",156.000000,-102.400000,270.000000,bottom
"U3","MCP6004","SOIC-14_N",173.650000,-94.750000,0.000000,bottom
"U4","TL074","SOIC-14_N",154.000000,-122.000000,180.000000,bottom
"U5","LM1117-3.3","TO-252-3_TabPin2",169.900000,-70.000000,180.000000,bottom
"Y1","Crystal","Crystal_SMD",151.000000,-89.400000,180.000000,bottom
